Kraj,Wartosc
BA,2.0
MA,6.0
BJ,1.0
HU,656.0
TZ,1.0
VC,1.0
IT,1772.0
JP,1.0
RS,11.0
UG,4.0
PL,6073.0
IE,246.0
SI,584.0
HR,363.0
DJ,1.0
CN,2.0
MR,1.0
1A,1.0
CH,647.0
CZ,1897.0
ML,2.0
ZM,2.0
BO,2.0
BF,3.0
TD,2.0
SZ,1.0
SK,401.0
TG,1.0
KZ,3.0
RO,2357.0
LV,329.0
IS,25.0
TJ,1.0
SE,1611.0
HN,1.0
GR,408.0
JO,3.0
RU,2.0
ET,1.0
PT,548.0
AL,3.0
MZ,1.0
BQ,1.0
LC,1.0
CM,1.0
LU,112.0
EE,264.0
MT,155.0
NP,1.0
AF,1.0
CY,65.0
NG,1.0
MK,226.0
TR,16.0
LI,1.0
AR,2.0
ME,1.0
BE,1023.0
UK,2855.0
FR,6994.0
FI,784.0
KG,1.0
EG,2.0
NO,786.0
GH,1.0
DK,627.0
ZW,1.0
PS,1.0
ES,2864.0
DE,6709.0
MD,1.0
BD,1.0
MG,2.0
LB,6.0
LT,553.0
BG,1377.0
AT,598.0
DZ,1.0
NL,1328.0
UA,10.0
