Kraj,Wartosc
SL,3.0
CO,4.0
TH,1.0
JM,10.0
AE,1.0
BA,53.0
MA,104.0
BJ,19.0
HU,7929.0
TZ,10.0
SO,4.0
VC,4.0
UY,1.0
GA,2.0
IT,21630.0
JP,3.0
RS,176.0
UG,20.0
AZ,3.0
SX,4.0
GD,1.0
TN,38.0
IN,15.0
PL,63525.0
IE,3027.0
SI,8462.0
EC,2.0
HR,4233.0
ZA,2.0
PF,2.0
CN,11.0
CW,2.0
DJ,3.0
MR,3.0
NE,8.0
1A,32.0
MU,10.0
CZ,20503.0
CH,7568.0
ML,23.0
ZM,29.0
ER,2.0
LA,1.0
MX,1.0
BF,25.0
BO,3.0
VN,4.0
ID,13.0
SZ,12.0
TD,12.0
LS,4.0
VE,4.0
KE,8.0
SK,5195.0
ST,1.0
HT,3.0
BI,3.0
TG,9.0
KZ,114.0
RO,24701.0
AM,11.0
BR,6.0
LV,3864.0
GI,3.0
IS,352.0
SE,16914.0
TJ,32.0
SN,2.0
HN,8.0
GR,4023.0
PH,3.0
JO,26.0
MW,24.0
RU,20.0
NA,1.0
PT,6239.0
ET,9.0
AL,34.0
MZ,4.0
CV,3.0
BQ,2.0
BZ,1.0
PE,1.0
LC,1.0
FJ,2.0
CM,3.0
CD,16.0
LU,1588.0
EE,3381.0
BT,4.0
MT,1305.0
VA,1.0
WF,3.0
AF,4.0
AO,1.0
NP,10.0
CY,955.0
CG,1.0
MK,2503.0
NG,19.0
TR,252.0
AX,1.0
BB,2.0
TL,1.0
LI,30.0
AR,5.0
ME,35.0
TC,2.0
BE,13063.0
KM,1.0
CA,2.0
LR,11.0
BW,1.0
GE,38.0
UK,34311.0
GN,19.0
FR,92488.0
RW,7.0
FI,8551.0
SS,1.0
KG,29.0
IR,2.0
NO,8730.0
EG,30.0
PY,2.0
PG,8.0
SV,3.0
GH,21.0
DK,6927.0
ZW,10.0
PS,6.0
ES,30537.0
VU,2.0
DE,82834.0
MM,11.0
PA,1.0
GT,3.0
NI,7.0
CI,17.0
MD,22.0
BD,5.0
BY,10.0
LB,27.0
MG,12.0
LT,6295.0
AT,7263.0
BG,14661.0
DZ,17.0
US,19.0
NL,13531.0
CL,2.0
UA,136.0
