Kraj,Wartosc
IQ,10.0
SC,1.0
SL,8.0
BS,1.0
CO,39.0
JM,6.0
TH,3.0
BA,110.0
MA,35.0
BJ,15.0
HU,6160.0
KR,2.0
AN,7.0
AW,2.0
TZ,11.0
KI,1.0
VC,9.0
GA,2.0
TT,1.0
IT,21950.0
JP,17.0
RS,422.0
UG,8.0
AZ,1.0
IN,24.0
TN,69.0
PL,59123.0
SI,4451.0
IE,2701.0
GM,5.0
YT,3.0
SR,1.0
HR,211.0
ZA,6.0
PF,2.0
GY,25.0
YE,3.0
DJ,13.0
CN,17.0
MR,14.0
NE,26.0
DM,4.0
MU,2.0
CZ,10013.0
CH,2478.0
ML,19.0
AG,1.0
ZM,8.0
ER,3.0
TV,1.0
MX,7.0
TM,2.0
BF,17.0
BO,7.0
TD,28.0
ID,11.0
SZ,12.0
VN,7.0
LS,1.0
VE,7.0
KE,37.0
SB,3.0
SK,3846.0
HT,5.0
ST,9.0
BI,34.0
TG,8.0
KZ,32.0
RO,10448.0
AM,18.0
LV,3060.0
BR,19.0
GI,22.0
IS,215.0
SE,10566.0
HN,9.0
SN,18.0
TJ,30.0
PH,12.0
GR,4497.0
JO,12.0
MW,14.0
PK,3.0
RU,67.0
DO,4.0
NA,6.0
ET,28.0
PT,3782.0
AL,68.0
CV,5.0
MZ,17.0
BZ,4.0
PE,4.0
LC,7.0
KY,2.0
FJ,2.0
CM,27.0
CD,30.0
LU,1301.0
EE,2599.0
MT,497.0
AF,22.0
AO,13.0
CY,1181.0
NG,20.0
CG,11.0
MK,303.0
TR,310.0
IL,5.0
LI,26.0
SY,25.0
AR,40.0
UZ,3.0
ME,76.0
BE,11994.0
KM,5.0
LR,4.0
BW,4.0
GE,52.0
UK,23870.0
GN,10.0
FR,104772.0
RW,14.0
FI,7306.0
SA,1.0
GW,1.0
KG,20.0
KP,2.0
SD,8.0
NO,6677.0
PY,6.0
EG,40.0
PG,5.0
SV,14.0
GH,21.0
DK,6055.0
PS,9.0
ZW,3.0
ES,22757.0
DE,48202.0
PA,2.0
GT,6.0
CI,18.0
CR,12.0
NI,14.0
BD,14.0
MD,35.0
MY,4.0
BY,20.0
TW,1.0
LB,11.0
MG,1.0
AT,6987.0
BG,6031.0
LT,5790.0
DZ,20.0
US,22.0
NL,9360.0
UA,103.0
NC,2.0
