Kraj,Wartosc
HU,4612284.73355268
SO,200000.0
IT,8469854.788178166
PL,1835409.3491704995
SI,1566179.9607147633
IE,2.0142744234E7
HR,1621239.0839489552
CN,469898.0
CZ,1514559.5485617
CH,1770976.594949837
ML,1053668.6620852572
LS,1890670.06
SK,1742752.0831521736
LV,1143156.494779874
SE,3424098.9944367013
GR,6668798.432421874
PT,1051337.4678414098
EE,998339.1186956523
LU,3988821.894583333
MT,1204013.4376595744
CY,543655.8160526316
AF,348974.551701922
MK,490018.60413864796
BE,2368312.2627977836
FR,3174878.5970444935
UK,2.3567549820073996E7
FI,3671411.592313339
NO,5919314.630547459
DK,6768762.553705663
ES,5135534.804916917
DE,4.854659954937945E9
LT,1574479.3088318305
AT,3834585.981715869
BG,837071.5839005535
UA,562248.0
NL,9101713.649666667
