Kraj,Wartosc
BA,4330000.0
HU,1.8280158666724822E8
TZ,280312.5261134787
SO,3250000.0
IT,1.4262127920410314E8
JP,3000000.0
RS,7.3531958678E8
UG,940551.115324457
GD,434451.37539625727
IN,1932145.8096511727
TN,2.4365744187E8
PL,2.265700733837767E7
SI,1.767004673932034E7
IE,1.0200168397952063E8
HR,2.762723418379885E7
CN,7032692.174863388
1A,1000000.0
MU,1275000.0
CZ,2.691883183326841E7
CH,2.155058427051691E7
ML,7901960.5867679585
ER,3672000.0
MX,851096.85
BO,1.1698838472465947E7
BF,8119008.319198558
TD,6517924.291802457
LS,4790670.0600000005
ID,2081767.4218833887
VE,4817361.8535637595
KE,7500000.0
SK,4.220977093689268E7
BI,35448.02638306576
RO,5760532.872302674
BR,6000000.0
LV,1.8308122102021765E7
GI,3405013.6839708565
IS,2.049961299651016E8
SE,3.833711426696642E7
PH,800000.0
GR,6.081184412900005E7
RU,587893.8183863381
PT,3.2837453591066662E7
AL,1.0152985546001503E7
MZ,1046.690903553686
PE,392249.5195119913
CD,4000000.0
LU,5.39076729448217E7
EE,7.717441609266506E7
MT,8.806261757548162E7
VA,439717.7625524082
AF,697949.103403844
CY,4.695233518745919E7
MK,4873625.837824013
AX,270000.0
TR,1.69E7
TL,991162.1376063434
LI,375303.75198462437
AR,2319967.0
ME,730000.0
BE,6.154704107528384E7
CA,247790.53440158584
GN,1500000.0
UK,5.580491530037607E8
FR,1.1228256602466714E9
FI,4.9650232084427014E7
KG,555000.0
EG,5618782.401604412
NO,6.36647641356468E7
PG,2560000.0
SV,550000.0
GH,5224712.767099754
DK,1.2207026270532572E8
VU,20451.988955925965
PS,1.4163E7
ES,4.6821751995221585E7
DE,1.0411960961313807E10
MM,3540197.2731665415
MD,1071426.09
LB,1.6932353184108365E7
LT,1.5379964210171085E7
AT,4.3573100009564914E7
BG,1.327413968197051E7
US,4847087.672905782
CL,270780.47965237737
NL,2.907824993629222E9
UA,1.3783885782188853E7
